Date,AverageTemperature,AverageTemperatureUncertainty,AverageAnomaly
1959-06-01,19.573,0.148,0.8267666666666642
1959-07-01,21.11,0.294,-0.3671999999999933
1959-08-01,21.001,0.151,0.49756666666667115
1959-09-01,16.171,0.276,-0.1845666666666652
1959-10-01,9.344,0.173,-0.6791333333333327
1959-11-01,1.602,0.146,-1.2092333333333338
1959-12-01,-1.219,0.191,0.9029999999999994
1960-01-01,-3.791,0.161,-0.26433333333333353
1960-02-01,-2.488,0.223,-0.9261333333333333
1960-03-01,-0.0380000000000002,0.103,-2.570466666666667
1960-04-01,8.383000000000001,0.1689999999999999,0.1790666666666656
1960-05-01,13.757,0.287,-0.054433333333330225
1960-06-01,18.864,0.265,0.11776666666666458
1960-07-01,21.568,0.139,0.09080000000000865
1960-08-01,20.487,0.308,-0.016433333333331746
1960-09-01,16.785999999999998,0.095,0.4304333333333332
1960-10-01,10.089,0.155,0.0658666666666683
1960-11-01,3.0610000000000004,0.181,0.24976666666666647
1960-12-01,-2.371,0.077,-0.24900000000000055
1961-01-01,-3.139,0.247,0.3876666666666666
1961-02-01,-0.421,0.176,1.1408666666666667
1961-03-01,2.9,0.156,0.36753333333333327
1961-04-01,6.758000000000001,0.273,-1.4459333333333344
1961-05-01,13.495,0.236,-0.3164333333333307
1961-06-01,19.164,0.292,0.4177666666666653
1961-07-01,21.153,0.203,-0.32419999999999405
1961-08-01,20.716,0.108,0.212566666666671
1961-09-01,15.695,0.064,-0.6605666666666643
1961-10-01,9.336,0.25,-0.6871333333333318
1961-11-01,2.056,0.099,-0.7552333333333339
1961-12-01,-4.009,0.143,-1.887000000000001
1962-01-01,-4.849,0.165,-1.3223333333333338
1962-02-01,-0.3109999999999999,0.155,1.2508666666666668
1962-03-01,0.975,0.174,-1.5574666666666666
1962-04-01,8.484,0.264,0.2800666666666647
1962-05-01,14.61,0.18,0.7985666666666695
1962-06-01,18.445,0.5,-0.3012333333333359
1962-07-01,20.931,0.222,-0.5461999999999918
1962-08-01,20.693,0.215,0.18956666666667132
1962-09-01,15.776,0.283,-0.5795666666666648
1962-10-01,10.906,0.329,0.8828666666666685
1962-11-01,3.652,0.135,0.8407666666666662
1962-12-01,-1.834,0.237,0.28799999999999937
1963-01-01,-5.482,0.152,-1.9553333333333338
1963-02-01,-1.122,0.143,0.43986666666666663
1963-03-01,3.5860000000000003,0.173,1.0535333333333337
1963-04-01,8.493,0.186,0.28906666666666503
1963-05-01,14.458,0.293,0.6465666666666703
1963-06-01,18.599,0.237,-0.147233333333336
1963-07-01,21.405,0.279,-0.0721999999999916
1963-08-01,20.43,0.114,-0.07343333333333035
1963-09-01,17.133,0.258,0.7774333333333345
1963-10-01,12.124,0.096,2.1008666666666684
1963-11-01,3.085,0.211,0.27376666666666605
1963-12-01,-3.749,0.089,-1.6270000000000007
1964-01-01,-3.196,0.178,0.3306666666666662
1964-02-01,-2.786,0.124,-1.2241333333333333
1964-03-01,0.6829999999999999,0.073,-1.8494666666666668
1964-04-01,7.849,0.173,-0.3549333333333351
1964-05-01,13.925999999999998,0.264,0.11456666666666848
1964-06-01,18.574,0.294,-0.17223333333333457
1964-07-01,21.909,0.196,0.4318000000000062
1964-08-01,19.864,0.253,-0.6394333333333293
1964-09-01,15.84,0.126,-0.5155666666666647
1964-10-01,9.826,0.19,-0.1971333333333316
