co2,co2_growth_abs,share_global_co2,coal_co2,cement_co2,gas_co2,oil_co2,co2_per_capita,coal_co2_per_capita,cement_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,flaring_co2_per_capita,share_global_coal_co2,share_global_cement_co2,share_global_gas_co2,share_global_oil_co2,population,gdp
2740.357,-87.954,32.58,888.344,27.169,570.701,1220.046,15.158,4.914,0.15,3.157,6.748,0.189,18.7,20.84,80.76,44.7,180788387.0,2963550372000.0
2823.005,82.647,31.9,910.978,29.604,593.21,1258.457,15.36,4.957,0.161,3.228,6.847,0.167,18.43,20.28,78.13,43.28,183786249.0,3183157000000.0
2887.82,64.816,30.94,917.964,27.885,630.025,1281.631,15.466,4.916,0.149,3.374,6.864,0.162,17.89,17.77,75.42,41.04,186720570.0,3262376247000.0
2877.37,-10.451,30.75,887.443,27.998,636.415,1297.316,15.178,4.681,0.148,3.357,6.844,0.149,18.05,16.92,72.09,39.24,189569850.0,3338583925000.0
2984.002,106.632,30.8,920.818,29.147,676.367,1334.748,15.516,4.788,0.152,3.517,6.94,0.119,18.79,16.4,69.82,37.56,192313747.0,3539745088000.0
3116.022,132.021,30.44,987.008,30.652,718.455,1359.256,15.985,5.063,0.157,3.686,6.973,0.106,19.35,16.37,68.47,35.7,194932400.0,3692868388000.0
3252.755,136.733,30.2,1049.177,32.176,759.072,1393.919,16.477,5.315,0.163,3.845,7.061,0.093,20.2,15.64,65.7,33.99,197408497.0,3906860040000.0
3388.193,135.438,30.07,1090.619,33.09,782.605,1464.691,16.964,5.46,0.166,3.918,7.333,0.086,20.66,15.38,63.43,33.21,199733679.0,4156141170000.0
3559.179,170.986,30.18,1132.718,34.36,842.207,1529.661,17.629,5.61,0.17,4.172,7.576,0.1,21.26,14.92,62.72,32.21,201895760.0,4428300240000.0
3693.298,134.119,30.34,1163.049,33.387,881.284,1589.194,18.113,5.704,0.164,4.322,7.794,0.129,22.18,14.02,61.36,31.39,203905081.0,4538979504000.0
3828.306,135.008,29.82,1139.603,35.102,936.361,1689.423,18.602,5.537,0.171,4.55,8.209,0.135,21.5,13.77,59.91,30.64,205805756.0,4754925846000.0
4021.503,193.197,29.37,1158.0,35.477,1018.083,1781.627,19.366,5.576,0.171,4.903,8.58,0.136,21.05,13.22,59.47,29.87,207659274.0,4903770015000.0
4325.501,303.998,29.17,1168.091,33.869,1059.211,2038.082,20.646,5.575,0.162,5.056,9.728,0.125,20.56,12.0,59.04,30.01,209513340.0,4912635816000.0
4351.309,25.808,28.21,1107.406,34.41,1096.927,2097.305,20.585,5.239,0.163,5.189,9.922,0.072,19.49,11.47,56.64,29.18,211384079.0,5065682434000.0
4558.453,207.144,28.24,1124.841,35.457,1115.673,2269.174,21.374,5.274,0.166,5.231,10.64,0.062,19.82,11.19,54.28,29.29,213269805.0,5334296944000.0
